Student_ID,Grade_Level,Study_Hours_Per_Week,Attendance_Rate,Homework_Completion_Rate,Previous_AI_Experience,Internet_Access_Home,Final_Project_Score,Quiz_Average,Final_Course_Result
S001,11,2.5,95,88,No,Yes,91,84,Pass
S002,12,4.0,98,92,Yes,Yes,94,89,Pass
S003,11,1.0,87,76,No,Yes,78,72,Pass
S004,12,5.5,99,97,Yes,Yes,96,93,Pass
S005,11,3.0,91,85,No,,82,79,Pass
S006,12,2.0,84,73,No,Yes,74,68,Fail
S007,11,6.0,100,99,Yes,Yes,98,95,Pass
S008,12,4.5,96,90,Yes,Yes,,88,Pass
S009,11,1.5,89,80,No,Yes,79,74,Pass
S010,12,3.5,93,87,No,Yes,88,82,Pass
S011,11,,90,81,No,Yes,81,77,Pass
S012,12,7.0,97,98,Yes,Yes,99,96,Pass
S013,11,0.5,75,60,No,No,65,58,Fail
S014,12,4.0,102,89,Yes,Yes,90,86,Pass
S015,11,3.0,92,84,No,Yes,85,80,Pass
S016,12,2.5,88,79,No,Yes,80,75,Pass
S017,11,5.0,97,95,Yes,Yes,95,91,Pass
S018,12,1.0,82,70,No,No,70,64,Fail
S019,11,4.0,93,,Yes,Yes,93,87,Pass
S020,12,2.0,86,78,No,Yes,76,71,Pass
S021,11,3.5,91,86,No,Yes,87,83,Pass
S022,12,6.5,99,100,Y,Yes,100,97,Pass
S023,11,1.5,85,74,No,No,72,66,Fail
S024,12,4.0,95,91,Yes,Yes,91,85,Pass
S025,11,2.5,90,83,No,Yes,84,,Pass
S026,12,3.0,92,88,Yes,Yes,89,84,Pass
S027,11,5.5,98,96,Yes,Yes,97,92,Pass
S028,12,1.0,80,69,No,No,68,61,
S029,13,3.5,94,87,No,Yes,88,81,Pass
S030,12,4.5,96,93,Yes,Yes,94,90,Pass
